"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/07/2025","700,00","700,00","700,00","688,00","34,77K","0,00%"
"16/07/2025","700,00","699,90","700,00","695,00","5,63K","0,03%"
"15/07/2025","699,80","695,30","700,00","695,10","26,40K","-0,03%"
"14/07/2025","700,00","697,80","700,00","696,60","23,55K","-0,13%"
"11/07/2025","700,90","696,90","700,90","696,30","59,90K","0,13%"
"10/07/2025","700,00","697,50","700,00","697,00","66,43K","0,03%"
"09/07/2025","699,80","700,00","701,00","695,30","29,34K","-0,03%"
"08/07/2025","700,00","700,00","700,50","695,10","54,77K","0,00%"
"07/07/2025","700,00","683,10","700,00","683,10","110,00K","1,01%"
"04/07/2025","693,00","680,00","693,00","680,00","29,85K","0,43%"
"03/07/2025","690,00","682,00","690,00","682,00","27,53K","1,17%"
"02/07/2025","682,00","678,00","684,00","675,00","4,18K","0,00%"
"01/07/2025","682,00","685,00","685,00","678,00","5,88K","0,29%"
"30/06/2025","680,00","680,00","690,00","680,00","78,07K","-1,88%"
"26/06/2025","693,00","685,00","693,00","681,10","350,29K","1,14%"
"25/06/2025","685,20","675,00","686,00","675,00","28,59K","0,76%"
"24/06/2025","680,00","670,00","681,00","670,00","57,45K","3,03%"
"23/06/2025","660,00","660,00","670,00","659,90","44,79K","-0,75%"
"20/06/2025","665,00","661,00","680,00","661,00","83,72K","1,06%"
"19/06/2025","658,00","663,00","665,00","656,10","106,60K","-0,75%"
"18/06/2025","663,00","670,00","670,60","663,00","38,58K","-1,27%"
"17/06/2025","671,50","675,30","676,00","671,10","58,65K","-0,68%"
"16/06/2025","676,10","677,00","680,00","671,00","12,40K","-1,44%"
"13/06/2025","686,00","671,00","686,00","671,00","52,99K","0,26%"
"12/06/2025","684,20","680,00","685,00","680,00","67,18K","0,25%"
"11/06/2025","682,50","687,00","689,00","680,00","43,83K","0,37%"
"10/06/2025","680,00","673,00","693,00","672,20","28,06K","1,25%"
"06/06/2025","671,60","685,00","689,00","671,60","45,27K","-1,74%"
"05/06/2025","683,50","683,00","695,00","683,00","9,62K","0,22%"
